NO,KELURAHAN,KECAMATAN,KABUPATEN,OBJECT,MERK,JENIS,DP NET,TENOR,f_cluster
3912,CIHANJUANG,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,6500000,29,2
3913,CINTAASIH,CIPONGKOR,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,5500000,29,2
3914,PASTEUR,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,NEWVARIOTECHNOCBS FI,2950000,17,2
3915,SARIWANGI,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,AEROX 155 VVA,4900000,17,2
3916,TENJOLAUT,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT CW FI,2500000,11,2
3917,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,SCOOPY ESP,7300000,17,2
3919,CIBEBER,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,NEW REVO CW,2025000,23,2
3920,KERTAJAYA,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,CBR 150 R,6000000,23,2
3921,SEKELOA,COBLONG,KOTA BANDUNG,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,3900000,29,2
3924,CIPADA,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 125 CBS ISS,2500000,11,2
3925,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,LEXI,4000000,29,2
3926,SUKABUNGAH,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,YAMAHA,NEW VIXION,2625000,23,2
3927,GALANGGANG,BATUJAJAR,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,5500000,17,2
3928,PATARUMAN,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,3000000,17,2
3930,CIHARASHAS,CIPEUNDEUY,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,ALL NEW VIXION,6700000,17,2
3931,SIRNARAJA,CIPEUNDEUY,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW BEAT STREET ESP,2800000,23,2
3932,GUNUNGHALU,GUNUNG HALU,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,NINJA 250,6800000,17,2
3933,CIHARASHAS,CIPEUNDEUY,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW CBR 150R STANDAR,5800000,35,2
3934,PASTEUR,SUKAJADI,KOTA BANDUNG,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,3200000,23,2
3936,CIHANJUANG,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,4100000,17,2
3938,CANGKORAH,BATUJAJAR,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW BEAT STREET ESP,3800000,23,2
3940,PADAASIH,CISARUA,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,4100000,17,2
3941,SUKATANI,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,5500000,23,2
3942,SUKAJAYA,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,5925000,23,2
3944,CIHARASHAS,CIPEUNDEUY,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI CBS ESP PLUS,3100000,23,2
3945,CIKALONG,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,NINJA R - KR 150 L,3400000,23,2
3946,KARANGMEKAR,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,X - RIDE,1900000,17,2
3948,MANDALAMUKTI,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3500000,11,2
3949,CIKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,SCOOPY ESP,2500000,23,2
3951,PATARUMAN,CIHAMPELAS,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FISPORTY CBSISS,2700000,23,2
3953,CIHARASHAS,CIPEUNDEUY,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3100000,35,2
3954,GALANGGANG,BATUJAJAR,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW V-IXION(KS),2100000,23,2
3957,PADASUKA,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2100000,23,2
3960,CIPADA,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,3500000,23,2
3965,HEGARMANAH,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,HONDA,CRF 150 L,5300000,35,2
3966,WANGUNJAYA,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,HONDA,SCOOPY ESP,7300000,17,2
3967,SUKARESMI,RONGGA,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW BEAT STREET ESP,2500000,35,2
3969,CINTAASIH,CIPONGKOR,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,R15,2500000,35,2
3971,TANIMULYA,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW REVO FI FIT,1400000,17,2
3974,CIKADU,SINDANGKERTA,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,N-MAX,8600000,17,2
3977,BOJONGKONENG,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,SUZUKI,SATRIA FU 150,2000000,17,2
3978,TANIMULYA,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,6400000,11,2
3979,CIHANJUANG RAHAYU,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW MIO GT,825000,11,2
3981,CITATAH,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,JUPITER MX CW,1825000,11,2
3983,RAJAMANDALA KULON,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,NINJA RR,4000000,11,2
3985,LAKSANAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,NEW MIO GT,1400000,11,2
3987,MANDALASARI,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,3000000,23,2
3990,TENJOLAUT,CIKALONG WETAN,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEWBEAT FICW-CBSPLUS,3925000,11,2
3991,WARGASALUYU,GUNUNG HALU,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2000000,23,2
3992,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,HONDA,PCX150,3825000,23,2
3993,CAMPAKAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,X - RIDE,2625000,11,2
3994,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,SONIC 150 R,5600000,23,2
3995,MELONG,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,BEAT FI POP CW,2900000,11,2
3997,CIHANJUANG,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW BEAT STREET ESP,5100000,11,2
3998,CIHANJUANG,PARONGPONG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CBS,5000000,11,2
4002,KARANGMEKAR,CIMAHI TENGAH,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,JUPITER Z1 CW,1225000,17,2
4004,CIBABAT,CIMAHI UTARA,KOTA CIMAHI,MOTOR BEKAS,YAMAHA,N-MAX,12425000,35,2
4005,TANIMULYA,NGAMPRAH,BANDUNG BARAT,MOTOR BEKAS,YAMAHA,R15,3800000,17,2
4010,GUNUNGMASIGIT,CIPATAT,BANDUNG BARAT,MOTOR BEKAS,HONDA,VARIO 150 ESP EXCLSV,5400000,17,2
