NO,KELURAHAN,KECAMATAN,KABUPATEN,OBJECT,MERK,JENIS,DP NET,TENOR
9882,MELONG,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BEKAS,HONDA,PCX150,4037540,23
9883,CIUMBULEUIT,CIDADAP,KOTA BANDUNG,MOTOR BEKAS,HONDA,VARIO 150 ESP SPORTY,7400000,23
9884,CIPEUNDEUY,PADALARANG,BANDUNG BARAT,MOTOR BEKAS,KAWASAKI,NINJA 250,13200000,35
9885,KERTAMUKTI,CIPATAT,KAB. BANDUNG,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 CON,6200000,35
9886,PAKUHAJI,NGAMPRAH,BANDUNG BARAT,MOTOR BARU,YAMAHA,ALL NEW NMAX 155 ABS,6200000,33
9887,MEKARSARI,NGAMPRAH,KAB. BANDUNG,MOTOR BARU,HONDA,BEAT FISPORTY CBSISS,3600000,33
9888,SARIJADI,SUKASARI,KOTA BANDUNG,MOTOR BARU,YAMAHA,AEROX 155 VVA,4400000,33
9889,CIPATIK,CIHAMPELAS,BANDUNG BARAT,MOTOR BARU,HONDA,NEW BEAT STREET ESP,3600000,35
9890,MEKARWANGI,LEMBANG,BANDUNG BARAT,MOTOR BARU,HONDA,NEW SCOOPY SPORTY,3100000,35
9891,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,HONDA,NEW SCOOPY STYLISH,3200000,22
9892,CITATAH,CIPATAT,BANDUNG BARAT,MOTOR BARU,KAWASAKI,NINJA 250 FI,13500000,35
9893,CIHANJUANG,PARONGPONG,KAB. BANDUNG,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,3400000,35
9894,CIKAHURIPAN,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,BEAT FI SPORTY CW,2400000,35
9895,CIKIDANG,LEMBANG,BANDUNG BARAT,MOTOR BEKAS,HONDA,REVO FIT,1900000,35
9896,JAYAMEKAR,PADALARANG,BANDUNG BARAT,MOTOR BARU,HONDA,BEAT FI SPORTY CBS,2600000,35
9897,GALANGGANG,BATUJAJAR,BANDUNG BARAT,MOTOR BEKAS,HONDA,NEW BEAT STREET ESP,3531200,23
9898,GUNUNGMASIGIT,CIPATAT,BANDUNG BARAT,MOTOR BARU,KAWASAKI,KLX 150 BF SE EXT,8000000,29
9899,RENDE,CIKALONG WETAN,BANDUNG BARAT,MOTOR BARU,KAWASAKI,D-TRACKER 150 SE,20000000,35
9900,SARIJADI,SUKASARI,KOTA BANDUNG,MOTOR BARU,YAMAHA,ALLNEW NMAX 155C ABS,5100000,21
9901,CIBEUREUM,CIMAHI SELATAN,KOTA CIMAHI,MOTOR BARU,YAMAHA,N-MAX,12979358,15
